ID,GENDER,BATCH_CODE,MODE,STATISTICS_76,PERCENTAGE_STATISTICS,TEXT_IMAGE_41,PERCENTAGE_TEXT_IMAGE,DATA_ENGINEERING_77,PERCENTAGE_DATA_ENGINEERING,DATA_VISUALIZATION_75,PERCENTAGE_DATA_VISUALIZATION,OUTPUT,TARGET
1,Male,DW1,WD,54,73.97260274,25,60.97560976,31,41.89189189,36,50.70422535,56.88608243,0
2,Male,DW3,WD,72,94.73684211,40,97.56097561,70,90.90909091,73,97.33333333,95.13506049,1
3,Male,DW4,WD,70,92.10526316,39,95.12195122,64,83.11688312,63,84,88.58602437,1
4,Male,DW7,WD,62,81.57894737,35,85.36585366,60,77.92207792,67,89.33333333,83.55005307,1
5,Male,DW9,WD,65,85.52631579,38,92.68292683,64,83.11688312,65,86.66666667,86.9981981,1
6,Female,DW9,WD,60,78.94736842,40,97.56097561,62,80.51948052,71,94.66666667,87.9236228,1
7,Male,DW9,WD,74,97.36842105,38,92.68292683,56,72.72727273,59,78.66666667,85.36132182,1
8,Female,DW9,WD,74,97.36842105,40,97.56097561,66,85.71428571,66,88,92.16092059,1
9,Female,DW9,WD,72,94.73684211,38,92.68292683,68,88.31168831,63,84,89.93286431,1
10,Male,DW10,WD,60,78.94736842,39,95.12195122,69,89.61038961,63,84,86.91992731,1
11,Male,DW11,WD,61,83.56164384,34,82.92682927,62,83.78378378,61,85.91549296,84.04693746,1
12,Male,DW11,WD,65,89.04109589,34,82.92682927,54,72.97297297,54,76.05633803,80.24930904,1
13,Female,DW11,WD,71,93.42105263,40,97.56097561,70,90.90909091,65,86.66666667,92.13944645,1
14,Male,DW11,WD,61,83.56164384,41,100,63,85.13513514,60,84.50704225,88.30095531,1
15,Male,DW11,WD,59,80.82191781,40,97.56097561,52,70.27027027,61,85.91549296,83.64216416,1
16,Male,DW11,WD,73,100,41,100,55,74.32432432,48,67.6056338,85.48248953,1
17,Female,DW11,WD,65,89.04109589,41,100,62,83.78378378,66,92.95774648,91.44565654,1
18,Female,DW12,WD,67,91.78082192,38,92.68292683,63,85.13513514,66,92.95774648,90.63915759,1
19,Male,DW12,WD,64,84.21052632,36,87.80487805,59,76.62337662,55,73.33333333,80.49302858,1
20,Female,DW12,WD,67,91.78082192,40,97.56097561,61,82.43243243,61,85.91549296,89.42243073,1
21,Male,DW13,WD,61,83.56164384,40,97.56097561,66,89.18918919,61,85.91549296,89.0568254,1
22,Male,DW13,WD,63,86.30136986,38,92.68292683,64,86.48648649,64,90.14084507,88.90290706,1
23,Male,DW13,WD,63,86.30136986,37,90.24390244,63,85.13513514,54,76.05633803,84.43418637,1
24,Female,DW13,WD,70,92.10526316,37,90.24390244,60,77.92207792,62,82.66666667,85.73447755,1
25,Male,DW13,WD,63,86.30136986,38,92.68292683,64,86.48648649,62,87.32394366,88.19868171,1
26,Male,DW13,WD,69,94.52054795,38,92.68292683,68,91.89189189,55,77.46478873,89.14003885,1
