ID,GENDER,BATCH_CODE,MODE,MACHINE_LEARNING_79,PERCENTAGE_MACHINE_LEARNING,NLP_34,PERCENTAGE_NLP,NUMPY_79,PERCENTAGE_NUMPY,OUTPUT,TARGET
1,Male,DW1,WD,30,37.97468354,27,79.41176471,34,43.03797468,53.47480764,0
2,Male,DW3,WD,63,79.74683544,31,91.17647059,76,96.20253165,89.04194589,1
3,Male,DW4,WD,53,67.08860759,28,82.35294118,64,81.01265823,76.818069,0
4,Male,DW7,WD,67,84.81012658,28,82.35294118,71,89.87341772,85.67882849,1
5,Male,DW9,WD,70,92.10526316,29,85.29411765,63,79.74683544,85.71540542,1
6,Female,DW9,WD,59,77.63157895,33,97.05882353,72,91.13924051,88.60988099,1
7,Male,DW9,WD,62,81.57894737,34,100,66,83.5443038,88.37441706,1
8,Female,DW9,WD,68,89.47368421,30,88.23529412,69,87.34177215,88.35025016,1
9,Female,DW9,WD,68,89.47368421,33,97.05882353,67,84.81012658,90.44754477,1
10,Male,DW10,WD,65,85.52631579,31,91.17647059,61,77.21518987,84.63932542,1
11,Male,DW11,WD,53,69.73684211,31,91.17647059,68,86.07594937,82.32975402,1
12,Male,DW11,WD,52,68.42105263,30,88.23529412,55,69.62025316,75.4255333,0
13,Female,DW11,WD,62,81.57894737,28,82.35294118,72,91.13924051,85.02370968,1
14,Male,DW11,WD,68,89.47368421,32,94.11764706,61,77.21518987,86.93550705,1
15,Male,DW11,WD,46,60.52631579,16,47.05882353,63,79.74683544,62.44399159,0
16,Male,DW11,WD,56,73.68421053,31,91.17647059,62,78.48101266,81.11389792,1
17,Female,DW11,WD,63,82.89473684,31,91.17647059,67,84.81012658,86.293778,1
18,Female,DW12,WD,65,85.52631579,33,97.05882353,71,89.87341772,90.81951901,1
19,Male,DW12,WD,55,72.36842105,33,97.05882353,63,79.74683544,83.05802668,1
20,Female,DW12,WD,62,83.78378378,24,70.58823529,70,88.60759494,80.99320467,1
21,Male,DW13,WD,62,81.57894737,32,94.11764706,72,91.13924051,88.94527831,1
22,Male,DW13,WD,64,84.21052632,32,94.11764706,62,78.48101266,85.60306201,1
23,Male,DW13,WD,56,73.68421053,29,85.29411765,72,91.13924051,83.37252289,1
24,Female,DW13,WD,62,81.57894737,30,88.23529412,62,78.48101266,82.76508471,1
25,Male,DW13,WD,64,84.21052632,32,94.11764706,64,81.01265823,86.44694387,1
26,Male,DW13,WD,63,82.89473684,26,76.47058824,59,74.6835443,78.01628979,0
27,Male,DW13,WD,62,81.57894737,33,97.05882353,70,88.60759494,89.08178861,1
28,Male,DW13,WD,66,86.84210526,31,91.17647059,64,81.01265823,86.34374469,1
29,Male,DW14,WD,64,84.21052632,33,97.05882353,78,98.73417722,93.33450902,1
30,Male,DW14,WD,64,84.21052632,34,100,69,87.34177215,90.51743282,1
31,Female,DW14,WD,66,86.84210526,34,100,66,83.5443038,90.12880302,1
32,Male,DW14,WD,58,76.31578947,33,97.05882353,70,88.60759494,87.32740265,1
33,Female,DW15,WD,46,60.52631579,20,58.82352941,47,61.03896104,60.12960208,0
34,Male,DW15,WD,68,89.47368421,31,91.17647059,71,89.87341772,90.17452417,1
35,Male,DW15,WD,67,88.15789474,32,94.11764706,71,89.87341772,90.71631984,1
36,Male,DW15,WD,69,90.78947368,27,79.41176471,67,84.81012658,85.00378832,1
37,Female,DW15,WD,66,86.84210526,32,94.11764706,60,75.94936709,85.63637314,1
38,Male,DW15,WD,62,81.57894737,34,100,75,94.93670886,92.17188541,1
39,Male,DW16,WD,60,78.94736842,33,97.05882353,59,74.6835443,83.56324542,1
40,Female,DW16,WD,68,89.47368421,31,91.17647059,75,94.93670886,91.86228789,1
41,Female,DW16,WD,43,56.57894737,15,44.11764706,48,60.75949367,53.81869603,0
42,Female,DW16,WD,56,73.68421053,31,91.17647059,51,64.55696203,76.47254771,0
43,Male,DW17,WD,56,73.68421053,26,76.47058824,64,81.01265823,77.055819,0
44,Female,DW17,WD,53,69.73684211,33,97.05882353,60,75.94936709,80.91501091,1
45,Female,DW17,WD,58,76.31578947,32,94.11764706,65,82.27848101,84.23730585,1
46,Female,DW18,WD,35,46.05263158,20,58.82352941,47,59.49367089,54.78994396,0
47,Female,DW18,WD,45,59.21052632,21,61.76470588,53,67.08860759,62.6879466,0
48,Male,DW18,WD,55,72.36842105,28,87.5,60,75.94936709,78.60592938,0
49,Female,DW18,WD,59,77.63157895,32,94.11764706,65,82.27848101,84.67590234,1
50,Male,DW18,WD,34,44.73684211,9,26.47058824,35,44.30379747,38.5037426,0
51,Female,DW18,WD,61,80.26315789,31,91.17647059,59,74.6835443,82.0410576,1
52,Male,DW18,WD,53,69.73684211,30,88.23529412,48,60.75949367,72.9105433,0
53,Male,DW19,WD,25,32.89473684,14,41.17647059,12,23.52941176,32.53353973,0
54,Female,DW19,WD,42,55.26315789,33,97.05882353,51,64.55696203,72.29298115,0
55,Male,DW19,WD,54,71.05263158,30,88.23529412,58,73.41772152,77.56854907,0
56,Female,DW19,WD,60,78.94736842,30,88.23529412,57,72.15189873,79.77818709,0
57,Male,DW19,WD,68,89.47368421,34,100,66,83.5443038,91.005996,1
58,Female,DW19,WD,68,89.47368421,34,100,66,83.5443038,91.005996,1
59,Male,DW19,WD,48,63.15789474,28,82.35294118,63,79.74683544,75.08589045,0
60,Female,DW19,WD,56,73.68421053,34,100,66,83.5443038,85.74283811,1
61,Male,DW19,WD,41,53.94736842,19,55.88235294,61,77.21518987,62.34830375,0
